profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
tpch_lineitem_like,1759,3000,0.1,5,51966,5.278742,3.142589,0.246221,135,395,137.28994,True
tpch_lineitem_like,1759,3000,0.2,5,54220,4.927521,2.869845,0.207063,158,417,137.28994,True
tpch_lineitem_like,1789,3000,0.02,1,20816,2.480838,1.416654,0.163055,3,59,135.754376,True
tpch_lineitem_like,1789,3000,0.05,1,28933,3.036647,1.738701,0.074916,1,98,135.754376,True
tpch_lineitem_like,1789,3000,0.1,1,75548,4.929507,2.923599,0.132104,6,364,135.754376,True
tpch_lineitem_like,1789,3000,0.2,1,52738,4.233439,2.39208,0.130312,15,413,135.754376,True
tpch_lineitem_like,1789,3000,0.02,3,20087,3.02217,1.859387,0.166377,3,42,135.754376,True
tpch_lineitem_like,1789,3000,0.05,3,31273,2.99977,1.635389,0.087729,6,106,135.754376,True
tpch_lineitem_like,1789,3000,0.1,3,49121,4.714718,3.036287,0.10218,16,379,135.754376,True
tpch_lineitem_like,1789,3000,0.2,3,76545,4.869936,2.996289,0.120725,31,734,135.754376,True
tpch_lineitem_like,1789,3000,0.02,5,22675,2.814352,1.687362,0.182073,28,64,135.754376,True
tpch_lineitem_like,1789,3000,0.05,5,31467,3.037504,1.878847,0.107083,34,113,135.754376,True
tpch_lineitem_like,1789,3000,0.1,5,82974,4.768363,3.165831,0.208162,163,409,135.754376,True
tpch_lineitem_like,1789,3000,0.2,5,85162,5.722068,3.634674,0.285331,295,781,135.754376,True
open_data_permits,1701,3000,0.02,1,31526,3.278013,2.039086,0.156507,5,101,131.27928,True
open_data_permits,1701,3000,0.05,1,16211,2.297847,1.312639,0.067134,3,30,131.27928,True
open_data_permits,1701,3000,0.1,1,78950,4.785966,3.070126,0.152024,15,409,131.27928,True
open_data_permits,1701,3000,0.2,1,73598,5.43566,3.472518,0.145071,43,732,131.27928,True
open_data_permits,1701,3000,0.02,3,24175,3.818264,2.394153,0.292992,12,90,131.27928,True
open_data_permits,1701,3000,0.05,3,17246,2.663218,1.721987,0.082469,5,26,131.27928,True
open_data_permits,1701,3000,0.1,3,55166,4.080338,2.602562,0.140016,60,445,131.27928,True
open_data_permits,1701,3000,0.2,3,59214,3.979989,2.589182,0.138682,66,663,131.27928,True
open_data_permits,1701,3000,0.02,5,29971,2.967866,2.044657,0.176153,21,102,131.27928,True
open_data_permits,1701,3000,0.05,5,11323,1.833922,1.060222,0.065522,3,10,131.27928,True
open_data_permits,1701,3000,0.1,5,59724,4.603225,3.212424,0.143196,65,459,131.27928,True
